년도,월,서귀포시 인구수,65세이상 인구수 ,14세이하 인구수,고령화비율,노령화지수,데이터기준일자
2008,12,153120,22241,26792,14.52,83.01,2023-03-24
2009,12,152285,23031,25504,15.12,90.3,2023-03-24
2010,12,153716,23990,24633,15.6,97.38,2023-03-24
2011,12,153366,24839,23686,16.2,104.86,2023-03-24
2012,12,154057,25826,22861,16.76,112.97,2023-03-24
2013,12,155641,26936,22393,17.31,120.29,2023-03-24
2014,12,158512,27877,22058,17.59,126.38,2023-03-24
2015,12,164519,28979,22362,17.61,129.59,2023-03-24
2016,12,170932,30030,23044,17.57,130.32,2023-03-24
2017,12,178383,31464,23922,17.64,131.52,2023-03-24
2018,12,181245,32394,24013,17.87,134.9,2023-03-24
2019,12,181584,33707,23707,18.56,142.18,2023-03-24
2020,12,182169,35434,23547,19.45,150.48,2023-03-24
2021,12,183015,36848,23592,20.13,156.19,2023-03-24
2022,12,184865,38404,23158,20.66,165.83,2023-03-24
